"waterBodyId","waterBodyName","studyId","studyName","studyDates","parameterId","parameterType","parameterName","parameterUnit","parameterLimit","parameterLimitText","v","vText","k","point"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",20.27,"20.27","RS-01","Ocotlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",28.71,"28.71","RS-02","Presa Corona"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",24.45,"24.45","AA-01","Carr. Chapala"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",24.88,"24.88","RZ-01","Río Zula"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",27.67,"27.67","RS-03","Ex-hacienda Zap."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",20.62,"20.62","RS-04","Salto-Juanacatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",15.83,"15.83","RS-05","Puente Grande"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",23.32,"23.32","AA-02","El Muelle"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",6.09,"6.09","RS-06","Matatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",5.39,"5.39","RS-07","Paso de Gpe."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",10.44,"10.44","RS-08","Cristóbal de la B."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",8.61,"8.61","RS-09","Camino Salvador"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",48,"Físicoquimico","Acidez total","sin unidad",1.71,"<1.71",2,"<2.00","RS-10","Paso La Yesca"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",6,"Físicoquimico","Alcalinidad total","miligramos de Carbonato de Calcio por litro",9.75,"<9.75",192.7,"192.70","RS-01","Ocotlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",6,"Físicoquimico","Alcalinidad total","miligramos de Carbonato de Calcio por litro",9.75,"<9.75",241.9,"241.90","RS-02","Presa Corona"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",6,"Físicoquimico","Alcalinidad total","miligramos de Carbonato de Calcio por litro",9.75,"<9.75",251.23,"251.23","AA-01","Carr. Chapala"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",6,"Físicoquimico","Alcalinidad total","miligramos de Carbonato de Calcio por litro",9.75,"<9.75",215.56,"215.56","RZ-01","Río Zula"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",6,"Físicoquimico","Alcalinidad total","miligramos de Carbonato de Calcio por litro",9.75,"<9.75",312.42,"312.42","RS-03","Ex-hacienda Zap."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",6,"Físicoquimico","Alcalinidad total","miligramos de Carbonato de Calcio por litro",9.75,"<9.75",246.41,"246.41","RS-04","Salto-Juanacatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",6,"Físicoquimico","Alcalinidad total","miligramos de Carbonato de Calcio por litro",9.75,"<9.75",263.01,"263.01","RS-05","Puente Grande"
